Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
Low Over Sampled,Random Forest - Fine Tuned,0.8381818181818181,0.6404700697759824,0.6005509641873278,0.6860739575137687,5,300
Low Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.844793388429752,0.6481828400149869,0.6187410586552218,0.6805664830841857,5,300
Low Under Sampled,Random Forest - Fine Tuned,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,5,300
Low Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.8444628099173553,0.6542983100661278,0.6137146795313577,0.7006294256490952,5,300
Low- Normal,Random Forest - Fine Tuned,0.8428099173553719,0.6359111791730475,0.6193139448173005,0.6534225019669552,5,300
Low- Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.8426446280991735,0.6421052631578947,0.6148308135349172,0.6719118804091266,5,300
Low Over Sampled,Random Forest - Fine Tuned,0.8381818181818181,0.6404700697759824,0.6005509641873278,0.6860739575137687,5,300
Low Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.844793388429752,0.6481828400149869,0.6187410586552218,0.6805664830841857,5,300
Low Under Sampled,Random Forest - Fine Tuned,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,5,300
Low Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.8444628099173553,0.6542983100661278,0.6137146795313577,0.7006294256490952,5,300
Low- Normal,Random Forest - Fine Tuned,0.8428099173553719,0.6359111791730475,0.6193139448173005,0.6534225019669552,5,300
Low- Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.8426446280991735,0.6421052631578947,0.6148308135349172,0.6719118804091266,5,300
Low Over Sampled,Random Forest - Fine Tuned,0.8381818181818181,0.6404700697759824,0.6005509641873278,0.6860739575137687,5,300
Low Over Sampled,Random Forest - AL - Query By Committee,0.839504132231405,0.6420936232952451,0.6040221914008321,0.6852871754523997,5,300
Low Under Sampled,Random Forest - Fine Tuned,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,5,300
Low Under Sampled,Random Forest - AL - Query By Committee,0.8370247933884297,0.6462145676354503,0.5939973614775725,0.7084972462627852,5,300
Low- Normal,Random Forest - Fine Tuned,0.8428099173553719,0.6359111791730475,0.6193139448173005,0.6534225019669552,5,300
Low- Normal,Random Forest - AL - Query By Committee,0.8410743801652892,0.6380575945793338,0.6116925297726452,0.6667977970102281,5,300
Low Over Sampled,Random Forest - Fine Tuned,0.8381818181818181,0.6404700697759824,0.6005509641873278,0.6860739575137687,5,300
Low Over Sampled,Random Forest - SSL - Self Training,0.8286776859504132,0.6363795825293808,0.5742323520101298,0.7136113296616837,5,300
Low Under Sampled,Random Forest - Fine Tuned,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,5,300
Low Under Sampled,Random Forest - SSL - Self Training,0.812892561983471,0.6267721727662381,0.5394438138479001,0.7478363493312352,5,300
Low- Normal,Random Forest - Fine Tuned,0.8428099173553719,0.6359111791730475,0.6193139448173005,0.6534225019669552,5,300
Low- Normal,Random Forest - SSL - Self Training,0.8333884297520661,0.6313094367227505,0.5898838004101162,0.6789929189614476,5,300
Low Over Sampled,Random Forest - Fine Tuned,0.8381818181818181,0.6404700697759824,0.6005509641873278,0.6860739575137687,5,300
Low Over Sampled,Random Forest - SSL - Co Training,0.838595041322314,0.6410586289285057,0.6015867540531218,0.6860739575137687,5,300
Low Under Sampled,Random Forest - Fine Tuned,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,5,300
Low Under Sampled,Random Forest - SSL - Co Training,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,5,300
Low- Normal,Random Forest - Fine Tuned,0.8428099173553719,0.6359111791730475,0.6193139448173005,0.6534225019669552,5,300
Low- Normal,Random Forest - SSL - Co Training,0.841900826446281,0.6334546848055183,0.6174822562570041,0.6502753737214791,5,300
Low Over Sampled,Random Forest - Fine Tuned,0.8381818181818181,0.6404700697759824,0.6005509641873278,0.6860739575137687,10,150
Low Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.8432231404958678,0.6465436929383268,0.6141592920353982,0.6825334382376081,10,150
Low Under Sampled,Random Forest - Fine Tuned,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,10,150
Low Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.8415702479338844,0.6483214089157953,0.6074252320385012,0.6951219512195121,10,150
Low- Normal,Random Forest - Fine Tuned,0.8428099173553719,0.6359111791730475,0.6193139448173005,0.6534225019669552,10,150
Low- Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.8444628099173553,0.6453071993969092,0.6193921852387844,0.6734854445318647,10,150
Low Over Sampled,Random Forest - Fine Tuned,0.8381818181818181,0.6404700697759824,0.6005509641873278,0.6860739575137687,10,150
Low Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.8432231404958678,0.6465436929383268,0.6141592920353982,0.6825334382376081,10,150
Low Under Sampled,Random Forest - Fine Tuned,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,10,150
Low Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.8415702479338844,0.6483214089157953,0.6074252320385012,0.6951219512195121,10,150
Low- Normal,Random Forest - Fine Tuned,0.8428099173553719,0.6359111791730475,0.6193139448173005,0.6534225019669552,10,150
Low- Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.8444628099173553,0.6453071993969092,0.6193921852387844,0.6734854445318647,10,150
Low Over Sampled,Random Forest - Fine Tuned,0.8381818181818181,0.6404700697759824,0.6005509641873278,0.6860739575137687,10,150
Low Over Sampled,Random Forest - AL - Query By Committee,0.8392561983471074,0.6409451726047628,0.6038260869565217,0.6829268292682927,10,150
Low Under Sampled,Random Forest - Fine Tuned,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,10,150
Low Under Sampled,Random Forest - AL - Query By Committee,0.8350413223140496,0.6413941789435861,0.5902777777777778,0.7022029897718332,10,150
Low- Normal,Random Forest - Fine Tuned,0.8428099173553719,0.6359111791730475,0.6193139448173005,0.6534225019669552,10,150
Low- Normal,Random Forest - AL - Query By Committee,0.8400826446280992,0.6368924751360481,0.6088984571223538,0.6675845790715972,10,150
Low Over Sampled,Random Forest - Fine Tuned,0.8381818181818181,0.6404700697759824,0.6005509641873278,0.6860739575137687,10,150
Low Over Sampled,Random Forest - SSL - Self Training,0.8279338842975207,0.6347368421052632,0.5728309056364788,0.7116443745082612,10,150
Low Under Sampled,Random Forest - Fine Tuned,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,10,150
Low Under Sampled,Random Forest - SSL - Self Training,0.8133057851239669,0.6275350370981039,0.5401646324155549,0.7486231313926043,10,150
Low- Normal,Random Forest - Fine Tuned,0.8428099173553719,0.6359111791730475,0.6193139448173005,0.6534225019669552,10,150
Low- Normal,Random Forest - SSL - Self Training,0.8333884297520661,0.6317135549872123,0.589699863574352,0.6801730920535012,10,150
Low Over Sampled,Random Forest - Fine Tuned,0.8381818181818181,0.6404700697759824,0.6005509641873278,0.6860739575137687,10,150
Low Over Sampled,Random Forest - SSL - Co Training,0.838595041322314,0.6410586289285057,0.6015867540531218,0.6860739575137687,10,150
Low Under Sampled,Random Forest - Fine Tuned,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,10,150
Low Under Sampled,Random Forest - SSL - Co Training,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,10,150
Low- Normal,Random Forest - Fine Tuned,0.8428099173553719,0.6359111791730475,0.6193139448173005,0.6534225019669552,10,150
Low- Normal,Random Forest - SSL - Co Training,0.841900826446281,0.6334546848055183,0.6174822562570041,0.6502753737214791,10,150
Low Over Sampled,Random Forest - Fine Tuned,0.8381818181818181,0.6404700697759824,0.6005509641873278,0.6860739575137687,15,100
Low Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.8432231404958678,0.6483781278962002,0.6130389064143007,0.6880409126671911,15,100
Low Under Sampled,Random Forest - Fine Tuned,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,15,100
Low Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.8423966942148761,0.6498990269873325,0.6092943201376936,0.6963021243115657,15,100
Low- Normal,Random Forest - Fine Tuned,0.8428099173553719,0.6359111791730475,0.6193139448173005,0.6534225019669552,15,100
Low- Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.8418181818181818,0.6394122079879427,0.6135213304410702,0.6675845790715972,15,100
Low Over Sampled,Random Forest - Fine Tuned,0.8381818181818181,0.6404700697759824,0.6005509641873278,0.6860739575137687,15,100
Low Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.8432231404958678,0.6483781278962002,0.6130389064143007,0.6880409126671911,15,100
Low Under Sampled,Random Forest - Fine Tuned,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,15,100
Low Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.8423966942148761,0.6498990269873325,0.6092943201376936,0.6963021243115657,15,100
Low- Normal,Random Forest - Fine Tuned,0.8428099173553719,0.6359111791730475,0.6193139448173005,0.6534225019669552,15,100
Low- Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.8418181818181818,0.6394122079879427,0.6135213304410702,0.6675845790715972,15,100
Low Over Sampled,Random Forest - Fine Tuned,0.8381818181818181,0.6404700697759824,0.6005509641873278,0.6860739575137687,15,100
Low Over Sampled,Random Forest - AL - Query By Committee,0.8400826446280992,0.6444975197501378,0.6046190968631506,0.6900078678206137,15,100
Low Under Sampled,Random Forest - Fine Tuned,0.8266115702479339,0.6339846475924633,0.5695924764890282,0.7147915027537373,15,100
Low Under Sampled,Random Forest - AL - Query By Committee,0.834297520661157,0.6408740820347484,0.5882933245642881,0.7037765538945712,15,100
Low- Normal,Random Forest - Fine Tuned,0.8428099173553719,0.6359111791730475,0.6193139448173005,0.6534225019669552,15,100
