Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,5,300
Low Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.8467768595041323,0.633596837944664,0.6366163621922161,0.6306058221872541,5,300
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,5,300
Low Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.8364462809917356,0.6527460958062818,0.5891669306303453,0.7317073170731707,5,300
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,5,300
Low- Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.844793388429752,0.6373117033603708,0.625948406676783,0.6490952006294256,5,300
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,5,300
Low Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.8467768595041323,0.633596837944664,0.6366163621922161,0.6306058221872541,5,300
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,5,300
Low Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.8398347107438017,0.6575971731448763,0.5968569595894805,0.7321007081038552,5,300
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,5,300
Low- Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.8434710743801653,0.6302225693088638,0.6255813953488372,0.6349331235247836,5,300
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,5,300
Low Over Sampled,XGBoost - AL - Query By Committee,0.8482644628099174,0.6404230317273796,0.6376755070202809,0.6431943351691581,5,300
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,5,300
Low Under Sampled,XGBoost - AL - Query By Committee,0.8369421487603306,0.6564513320564165,0.5888784754764136,0.7415420928402833,5,300
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,5,300
Low- Normal,XGBoost - AL - Query By Committee,0.8464462809917356,0.639922480620155,0.6306340718105424,0.6494885916601102,5,300
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,5,300
Low Over Sampled,XGBoost - SSL - Self Training,0.8456198347107438,0.6324281778827233,0.6326771653543307,0.6321793863099922,5,300
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,5,300
Low Under Sampled,XGBoost - SSL - Self Training,0.8262809917355372,0.6479061976549414,0.5641773628938156,0.7608182533438238,5,300
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,5,300
Low- Normal,XGBoost - SSL - Self Training,0.8421487603305785,0.6275351014040562,0.6221964423820572,0.6329661683713611,5,300
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,5,300
Low Over Sampled,XGBoost - SSL - Co Training,0.8431404958677686,0.629730784237222,0.6246130030959752,0.6349331235247836,5,300
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,5,300
Low Under Sampled,XGBoost - SSL - Co Training,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,5,300
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,5,300
Low- Normal,XGBoost - SSL - Co Training,0.843801652892562,0.6275128104059914,0.6287519747235387,0.6262785208497246,5,300
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,10,150
Low Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.8445454545454546,0.6311041380662875,0.6292530308955807,0.6329661683713611,10,150
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,10,150
Low Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.8364462809917356,0.6504151210033563,0.5902532863097146,0.7242328874901652,10,150
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,10,150
Low- Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.8461157024793389,0.6390073671965878,0.6299694189602446,0.6483084185680567,10,150
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,10,150
Low Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.8445454545454546,0.6311041380662875,0.6292530308955807,0.6329661683713611,10,150
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,10,150
Low Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.8380165289256198,0.652235628105039,0.5940530058177117,0.7230527143981117,10,150
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,10,150
Low- Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.8435537190082645,0.6342028985507246,0.6232434485377896,0.6455546813532651,10,150
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,10,150
Low Over Sampled,XGBoost - AL - Query By Committee,0.8439669421487603,0.6299490395923167,0.627734375,0.6321793863099922,10,150
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,10,150
Low Under Sampled,XGBoost - AL - Query By Committee,0.8350413223140496,0.652990264255911,0.5850467289719626,0.7387883556254917,10,150
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,10,150
Low- Normal,XGBoost - AL - Query By Committee,0.8386776859504133,0.6293201671097607,0.6082966226138032,0.6518489378442172,10,150
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,10,150
Low Over Sampled,XGBoost - SSL - Self Training,0.8466115702479339,0.6373583431027745,0.6331521739130435,0.6416207710464201,10,150
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,10,150
Low Under Sampled,XGBoost - SSL - Self Training,0.8259504132231404,0.6466442953020134,0.5637799882972498,0.7580645161290323,10,150
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,10,150
Low- Normal,XGBoost - SSL - Self Training,0.8431404958677686,0.629730784237222,0.6246130030959752,0.6349331235247836,10,150
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,10,150
Low Over Sampled,XGBoost - SSL - Co Training,0.8431404958677686,0.629730784237222,0.6246130030959752,0.6349331235247836,10,150
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,10,150
Low Under Sampled,XGBoost - SSL - Co Training,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,10,150
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,10,150
Low- Normal,XGBoost - SSL - Co Training,0.843801652892562,0.6275128104059914,0.6287519747235387,0.6262785208497246,10,150
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,15,100
Low Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.8496694214876033,0.6393020027761254,0.6445421831267493,0.6341463414634146,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,15,100
Low Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.8373553719008264,0.6540084388185654,0.5912269548633186,0.7317073170731707,15,100
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,15,100
Low- Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.8462809917355372,0.6389751552795031,0.6306513409961686,0.6475216365066876,15,100
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,15,100
Low Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.8496694214876033,0.6393020027761254,0.6445421831267493,0.6341463414634146,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,15,100
Low Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.8385123966942148,0.6579131652661064,0.5927444794952681,0.7391817466561762,15,100
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,15,100
Low- Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.8451239669421488,0.6363989134652697,0.6278713629402757,0.6451612903225806,15,100
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,15,100
Low Over Sampled,XGBoost - AL - Query By Committee,0.8507438016528925,0.6446280991735537,0.6448818897637796,0.6443745082612117,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,15,100
Low Under Sampled,XGBoost - AL - Query By Committee,0.8333884297520661,0.6495132127955494,0.5819314641744548,0.7348544453186467,15,100
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,15,100
Low- Normal,XGBoost - AL - Query By Committee,0.8409090909090909,0.629451395572666,0.6162834526950622,0.6431943351691581,15,100
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,15,100
Low Over Sampled,XGBoost - SSL - Self Training,0.8463636363636363,0.6319540685012869,0.6361100039856517,0.6278520849724626,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,15,100
Low Under Sampled,XGBoost - SSL - Self Training,0.8256198347107438,0.6451395896400942,0.563454759106933,0.7545239968528717,15,100
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,15,100
Low- Normal,XGBoost - SSL - Self Training,0.8434710743801653,0.6286274509803922,0.6266614542611415,0.6306058221872541,15,100
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,15,100
Low Over Sampled,XGBoost - SSL - Co Training,0.8431404958677686,0.629730784237222,0.6246130030959752,0.6349331235247836,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,15,100
Low Under Sampled,XGBoost - SSL - Co Training,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,15,100
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,15,100
Low- Normal,XGBoost - SSL - Co Training,0.843801652892562,0.6275128104059914,0.6287519747235387,0.6262785208497246,15,100
Low Over Sampled,XGBoost - Fine Tuned,0.846198347107438,0.637019699629413,0.6317214700193423,0.6424075531077892,20,75
Low Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.8487603305785124,0.6366163621922161,0.6427425821972734,0.6306058221872541,20,75
Low Under Sampled,XGBoost - Fine Tuned,0.8259504132231404,0.6468812877263581,0.5637054354178843,0.7588512981904013,20,75
Low Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.8393388429752067,0.6549520766773163,0.5967011642949547,0.7258064516129032,20,75
Low- Normal,XGBoost - Fine Tuned,0.8429752066115702,0.627304825421734,0.6255868544600939,0.6290322580645161,20,75
