Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,5,300
MED Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.905702479338843,0.4660739354234908,0.4132780082987551,0.5343347639484979,5,300
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,5,300
MED Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9122314049586776,0.4809384164222874,0.4416517055655296,0.5278969957081545,5,300
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,5,300
MED Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.9044628099173554,0.4618249534450652,0.4078947368421052,0.5321888412017167,5,300
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,5,300
MED Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.905702479338843,0.4660739354234908,0.4132780082987551,0.5343347639484979,5,300
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,5,300
MED Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9122314049586776,0.4809384164222874,0.4416517055655296,0.5278969957081545,5,300
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,5,300
MED Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.9044628099173554,0.4618249534450652,0.4078947368421052,0.5321888412017167,5,300
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,5,300
MED Over Sampled,Random Forest - AL - Query By Committee,0.9021487603305786,0.4603463992707384,0.4001584786053883,0.5418454935622318,5,300
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,5,300
MED Under Sampled,Random Forest - AL - Query By Committee,0.9041322314049588,0.4619666048237477,0.4068627450980392,0.5343347639484979,5,300
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,5,300
MED Normal,Random Forest - AL - Query By Committee,0.9073553719008264,0.4623501199040767,0.4180398959236773,0.5171673819742489,5,300
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,5,300
MED Over Sampled,Random Forest - SSL - Self Training,0.8923140495867768,0.43470715835141,0.3648943918426802,0.5375536480686696,5,300
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,5,300
MED Under Sampled,Random Forest - SSL - Self Training,0.8870247933884298,0.4390644234714813,0.3554817275747508,0.5740343347639485,5,300
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,5,300
MED Normal,Random Forest - SSL - Self Training,0.9050413223140495,0.4478616049975973,0.4055700609225413,0.5,5,300
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,5,300
MED Over Sampled,Random Forest - SSL - Co Training,0.9016528925619834,0.4521178637200737,0.3959677419354839,0.526824034334764,5,300
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,5,300
MED Under Sampled,Random Forest - SSL - Co Training,0.9022314049586776,0.4515530829856282,0.3975510204081632,0.5225321888412017,5,300
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,5,300
MED Normal,Random Forest - SSL - Co Training,0.907190082644628,0.4524622135543637,0.4146559428060768,0.4978540772532189,5,300
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,10,150
MED Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9064462809917356,0.4660377358490566,0.4158249158249158,0.5300429184549357,10,150
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,10,150
MED Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9116528925619836,0.4741760944417117,0.4377838328792007,0.5171673819742489,10,150
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,10,150
MED Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.9064462809917356,0.4660377358490566,0.4158249158249158,0.5300429184549357,10,150
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,10,150
MED Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9064462809917356,0.4660377358490566,0.4158249158249158,0.5300429184549357,10,150
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,10,150
MED Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9116528925619836,0.4741760944417117,0.4377838328792007,0.5171673819742489,10,150
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,10,150
MED Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.9064462809917356,0.4660377358490566,0.4158249158249158,0.5300429184549357,10,150
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,10,150
MED Over Sampled,Random Forest - AL - Query By Committee,0.900495867768595,0.4591194968553459,0.3948995363214838,0.5482832618025751,10,150
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,10,150
MED Under Sampled,Random Forest - AL - Query By Committee,0.9042148760330578,0.4576509124941507,0.4058091286307054,0.5246781115879828,10,150
MED Normal,Random Forest - Fine Tuned,0.9105785123966942,0.4485219164118246,0.4271844660194174,0.4721030042918455,10,150
MED Normal,Random Forest - AL - Query By Committee,0.9066942148760332,0.4616118264186933,0.415450643776824,0.51931330472103,10,150
MED Over Sampled,Random Forest - Fine Tuned,0.9049586776859504,0.4534220532319392,0.4069965870307167,0.5118025751072961,10,150
MED Over Sampled,Random Forest - SSL - Self Training,0.893305785123967,0.441850410722006,0.3700217233888486,0.5482832618025751,10,150
MED Under Sampled,Random Forest - Fine Tuned,0.9040495867768596,0.4556962025316455,0.4046627810158201,0.5214592274678111,10,150
