Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
MED Over Sampled,XGBoost - Fine Tuned,0.9190909090909092,0.4318049912942542,0.4702907711757269,0.3991416309012875,5,300
MED Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9190909090909092,0.4434337691870381,0.4715840386940749,0.4184549356223176,5,300
MED Under Sampled,XGBoost - Fine Tuned,0.8953719008264462,0.4608177172061329,0.3820621468926554,0.5804721030042919,5,300
MED Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9007438016528926,0.4706919347730278,0.3994016454749439,0.572961373390558,5,300
MED Normal,XGBoost - Fine Tuned,0.9178512396694216,0.4371460928652321,0.4628297362110312,0.4141630901287553,5,300
MED Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.916611570247934,0.4403771491957848,0.4557979334098737,0.4259656652360515,5,300
MED Over Sampled,XGBoost - Fine Tuned,0.9190909090909092,0.4318049912942542,0.4702907711757269,0.3991416309012875,5,300
MED Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9198347107438016,0.4556677890011223,0.4776470588235294,0.4356223175965665,5,300
MED Under Sampled,XGBoost - Fine Tuned,0.8953719008264462,0.4608177172061329,0.3820621468926554,0.5804721030042919,5,300
MED Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.8999173553719009,0.4648696420680512,0.3951915852742299,0.5643776824034334,5,300
MED Normal,XGBoost - Fine Tuned,0.9178512396694216,0.4371460928652321,0.4628297362110312,0.4141630901287553,5,300
MED Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9155371900826448,0.4475675675675675,0.4509803921568627,0.4442060085836909,5,300
MED Over Sampled,XGBoost - Fine Tuned,0.9190909090909092,0.4318049912942542,0.4702907711757269,0.3991416309012875,5,300
MED Over Sampled,XGBoost - AL - Query By Committee,0.9173553719008264,0.4553376906318083,0.4623893805309734,0.4484978540772532,5,300
MED Under Sampled,XGBoost - Fine Tuned,0.8953719008264462,0.4608177172061329,0.3820621468926554,0.5804721030042919,5,300
MED Under Sampled,XGBoost - AL - Query By Committee,0.8959504132231405,0.4681030840726658,0.3860627177700348,0.5944206008583691,5,300
MED Normal,XGBoost - Fine Tuned,0.9178512396694216,0.4371460928652321,0.4628297362110312,0.4141630901287553,5,300
MED Normal,XGBoost - AL - Query By Committee,0.9165289256198348,0.4639065817409766,0.4590336134453781,0.4688841201716738,5,300
MED Over Sampled,XGBoost - Fine Tuned,0.9190909090909092,0.4318049912942542,0.4702907711757269,0.3991416309012875,5,300
MED Over Sampled,XGBoost - SSL - Self Training,0.9172727272727272,0.4190365641323273,0.4563843236409608,0.3873390557939914,5,300
MED Under Sampled,XGBoost - Fine Tuned,0.8953719008264462,0.4608177172061329,0.3820621468926554,0.5804721030042919,5,300
MED Under Sampled,XGBoost - SSL - Self Training,0.8945454545454545,0.4570212765957447,0.3787023977433004,0.5761802575107297,5,300
