Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,5,300
Original Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.97900826446281,0.1699346405228758,0.1511627906976744,0.1940298507462686,5,300
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,5,300
Original Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.984297520661157,0.1363636363636363,0.1744186046511628,0.1119402985074626,5,300
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,5,300
Original Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.9778512396694214,0.1572327044025157,0.1358695652173913,0.1865671641791045,5,300
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,5,300
Original Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.97900826446281,0.1699346405228758,0.1511627906976744,0.1940298507462686,5,300
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,5,300
Original Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.984297520661157,0.1363636363636363,0.1744186046511628,0.1119402985074626,5,300
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,5,300
Original Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.9778512396694214,0.1572327044025157,0.1358695652173913,0.1865671641791045,5,300
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,5,300
Original Over Sampled,Random Forest - AL - Query By Committee,0.9789256198347108,0.1414141414141414,0.1288343558282208,0.1567164179104477,5,300
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,5,300
Original Under Sampled,Random Forest - AL - Query By Committee,0.9832231404958678,0.1506276150627615,0.1714285714285714,0.1343283582089552,5,300
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,5,300
Original Normal,Random Forest - AL - Query By Committee,0.9765289256198348,0.1234567901234567,0.1052631578947368,0.1492537313432835,5,300
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,5,300
Original Over Sampled,Random Forest - SSL - Self Training,0.9797520661157024,0.1342756183745583,0.1275167785234899,0.1417910447761194,5,300
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,5,300
Original Under Sampled,Random Forest - SSL - Self Training,0.982809917355372,0.1333333333333333,0.1509433962264151,0.1194029850746268,5,300
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,5,300
Original Normal,Random Forest - SSL - Self Training,0.9843801652892562,0.1524663677130044,0.1910112359550561,0.126865671641791,5,300
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,5,300
Original Over Sampled,Random Forest - SSL - Co Training,0.981900826446281,0.1411764705882353,0.1487603305785124,0.1343283582089552,5,300
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,5,300
Original Under Sampled,Random Forest - SSL - Co Training,0.984793388429752,0.1481481481481481,0.1951219512195122,0.1194029850746268,5,300
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,5,300
Original Normal,Random Forest - SSL - Co Training,0.9851239669421488,0.1428571428571428,0.1973684210526315,0.1119402985074626,5,300
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,10,150
Original Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9796694214876032,0.1517241379310344,0.141025641025641,0.1641791044776119,10,150
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,10,150
Original Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9841322314049586,0.1428571428571428,0.1777777777777777,0.1194029850746268,10,150
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,10,150
Original Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.9772727272727272,0.1324921135646687,0.1147540983606557,0.1567164179104477,10,150
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,10,150
Original Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9796694214876032,0.1517241379310344,0.141025641025641,0.1641791044776119,10,150
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,10,150
Original Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9841322314049586,0.1428571428571428,0.1777777777777777,0.1194029850746268,10,150
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,10,150
Original Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.9772727272727272,0.1324921135646687,0.1147540983606557,0.1567164179104477,10,150
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,10,150
Original Over Sampled,Random Forest - AL - Query By Committee,0.978099173553719,0.1368078175895765,0.1213872832369942,0.1567164179104477,10,150
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,10,150
Original Under Sampled,Random Forest - AL - Query By Committee,0.9814876033057852,0.1181102362204724,0.125,0.1119402985074626,10,150
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,10,150
Original Normal,Random Forest - AL - Query By Committee,0.977603305785124,0.1286173633440514,0.1129943502824858,0.1492537313432835,10,150
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,10,150
Original Over Sampled,Random Forest - SSL - Self Training,0.98,0.1357142857142857,0.1301369863013698,0.1417910447761194,10,150
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,10,150
Original Under Sampled,Random Forest - SSL - Self Training,0.9812396694214875,0.1433962264150943,0.1450381679389313,0.1417910447761194,10,150
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,10,150
Original Normal,Random Forest - SSL - Self Training,0.9850413223140496,0.1581395348837209,0.2098765432098765,0.126865671641791,10,150
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,10,150
Original Over Sampled,Random Forest - SSL - Co Training,0.9806611570247934,0.1397058823529411,0.1376811594202898,0.1417910447761194,10,150
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,10,150
Original Under Sampled,Random Forest - SSL - Co Training,0.9840495867768596,0.1497797356828193,0.1827956989247312,0.126865671641791,10,150
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,10,150
Original Normal,Random Forest - SSL - Co Training,0.9845454545454544,0.1461187214611872,0.188235294117647,0.1194029850746268,10,150
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,15,100
Original Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9792561983471074,0.1548821548821548,0.1411042944785276,0.1716417910447761,15,100
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,15,100
Original Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9840495867768596,0.1422222222222222,0.1758241758241758,0.1194029850746268,15,100
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,15,100
Original Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.978099173553719,0.1533546325878594,0.1340782122905028,0.1791044776119403,15,100
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,15,100
