Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
XHigh Over Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh- Normal,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh- Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Over Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh- Normal,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh- Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Over Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Over Sampled,Random Forest - AL - Query By Committee,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,Random Forest - AL - Query By Committee,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh- Normal,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh- Normal,Random Forest - AL - Query By Committee,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Over Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Over Sampled,Random Forest - SSL - Self Training,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,Random Forest - SSL - Self Training,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh- Normal,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh- Normal,Random Forest - SSL - Self Training,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Over Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Over Sampled,Random Forest - SSL - Co Training,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,Random Forest - SSL - Co Training,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh- Normal,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh- Normal,Random Forest - SSL - Co Training,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Over Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh- Normal,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh- Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Over Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh- Normal,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh- Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Over Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Over Sampled,Random Forest - AL - Query By Committee,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,Random Forest - AL - Query By Committee,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh- Normal,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh- Normal,Random Forest - AL - Query By Committee,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Over Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Over Sampled,Random Forest - SSL - Self Training,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,Random Forest - SSL - Self Training,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh- Normal,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh- Normal,Random Forest - SSL - Self Training,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Over Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Over Sampled,Random Forest - SSL - Co Training,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,Random Forest - SSL - Co Training,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh- Normal,Random Forest - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
