Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
XHigh Over Sampled,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9992561983471074,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9993388429752066,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9988429752066116,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9993388429752066,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9991735537190084,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - AL - Query By Committee,0.9991735537190084,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - AL - Query By Committee,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - AL - Query By Committee,0.9971074380165288,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - SSL - Self Training,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - SSL - Self Training,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - SSL - Self Training,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - SSL - Co Training,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - SSL - Co Training,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - SSL - Co Training,0.9999173553719009,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9992561983471074,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9992561983471074,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9992561983471074,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9992561983471074,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.999504132231405,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9991735537190084,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - AL - Query By Committee,0.9988429752066116,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - AL - Query By Committee,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - AL - Query By Committee,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - SSL - Self Training,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - SSL - Self Training,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - SSL - Self Training,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - SSL - Co Training,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - SSL - Co Training,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - SSL - Co Training,0.9999173553719009,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,15,100
XHigh Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,15,100
XHigh Under Sampled,XGBoost - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,15,100
XHigh Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,15,100
XHigh Normal,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,15,100
XHigh Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9991735537190084,0.0,0.0,0.0,15,100
XHigh Over Sampled,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,15,100
XHigh Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9991735537190084,0.0,0.0,0.0,15,100
XHigh Under Sampled,XGBoost - Fine Tuned,0.9999173553719009,0.0,0.0,0.0,15,100
XHigh Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9999173553719009,0.0,0.0,0.0,15,100
XHigh Normal,XGBoost - Fine Tuned,0.999586776859504,0.0,0.0,0.0,15,100
