Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,5,300
Low Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9064310954063604,0.7788911155644622,0.7730813857119178,0.784788827191654,5,300
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,5,300
Low Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.854982332155477,0.5989053948397185,0.7143856376777804,0.5155645296988053,5,300
Low Normal,Random Forest - Fine Tuned,0.902155477031802,0.7749329431845892,0.7495283018867924,0.8021201413427562,5,300
Low Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.8942049469964665,0.7489939637826962,0.7463659147869675,0.7516405855628471,5,300
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,5,300
Low Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9075971731448764,0.7820288405434692,0.7748595969606872,0.7893319872118458,5,300
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,5,300
Low Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.854982332155477,0.5989053948397185,0.7143856376777804,0.5155645296988053,5,300
Low Normal,Random Forest - Fine Tuned,0.902155477031802,0.7749329431845892,0.7495283018867924,0.8021201413427562,5,300
Low Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.8922614840989399,0.7415882701923892,0.7470969945355191,0.7361601884570083,5,300
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,5,300
Low Over Sampled,Random Forest - AL - Query By Committee,0.906077738515901,0.7855067785668173,0.7546906497131338,0.8189466599360592,5,300
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,5,300
Low Under Sampled,Random Forest - AL - Query By Committee,0.8371378091872792,0.5418033601749677,0.6620505344995141,0.458522631667508,5,300
Low Normal,Random Forest - Fine Tuned,0.902155477031802,0.7749329431845892,0.7495283018867924,0.8021201413427562,5,300
Low Normal,Random Forest - AL - Query By Committee,0.9069611307420494,0.790981979836469,0.7487225728884881,0.8382971563183578,5,300
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,5,300
Low Over Sampled,Random Forest - SSL - Self Training,0.9018021201413428,0.7714074195936498,0.7545864177663341,0.7889954568399798,5,300
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,5,300
Low Under Sampled,Random Forest - SSL - Self Training,0.8712367491166078,0.6740608228980322,0.7194958945961428,0.6340232205956587,5,300
Low Normal,Random Forest - Fine Tuned,0.902155477031802,0.7749329431845892,0.7495283018867924,0.8021201413427562,5,300
Low Normal,Random Forest - SSL - Self Training,0.9107067137809188,0.7911742831170978,0.7773627801234166,0.8054854450614168,5,300
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,5,300
Low Over Sampled,Random Forest - SSL - Co Training,0.898339222614841,0.7708847654694593,0.7317810704566072,0.8144034999158674,5,300
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,5,300
Low Under Sampled,Random Forest - SSL - Co Training,0.8792226148409894,0.7025239338555266,0.7276005047773572,0.6791182904257109,5,300
Low Normal,Random Forest - Fine Tuned,0.902155477031802,0.7749329431845892,0.7495283018867924,0.8021201413427562,5,300
Low Normal,Random Forest - SSL - Co Training,0.9079858657243816,0.7943777637397347,0.7484005356345782,0.8463738852431432,5,300
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,10,150
Low Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9153710247349824,0.8036080360803608,0.7837492002559181,0.8244994110718492,10,150
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,10,150
Low Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.8507773851590106,0.5811762372309829,0.7077294685990339,0.4930169947837792,10,150
Low Normal,Random Forest - Fine Tuned,0.902155477031802,0.7749329431845892,0.7495283018867924,0.8021201413427562,10,150
Low Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.9063957597173145,0.7831709912417124,0.7625119540962704,0.8049806495036177,10,150
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,10,150
Low Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9102473498233216,0.7898047004303211,0.7770721380882593,0.8029614672724213,10,150
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,10,150
Low Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.8507773851590106,0.5811762372309829,0.7077294685990339,0.4930169947837792,10,150
Low Normal,Random Forest - Fine Tuned,0.902155477031802,0.7749329431845892,0.7495283018867924,0.8021201413427562,10,150
Low Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.8971024734982332,0.7574546060303182,0.7499587662873165,0.7651018004374894,10,150
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,10,150
Low Over Sampled,Random Forest - AL - Query By Committee,0.9034628975265018,0.7769795918367347,0.7545584271444427,0.800774019855292,10,150
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,10,150
Low Under Sampled,Random Forest - AL - Query By Committee,0.8391872791519435,0.5527272727272727,0.6644612476370511,0.4731617028436816,10,150
Low Normal,Random Forest - Fine Tuned,0.902155477031802,0.7749329431845892,0.7495283018867924,0.8021201413427562,10,150
Low Normal,Random Forest - AL - Query By Committee,0.905583038869258,0.7862741961286194,0.7493520353712456,0.8270233888608447,10,150
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,10,150
Low Over Sampled,Random Forest - SSL - Self Training,0.9015547703180212,0.7706995884773663,0.7543096503947156,0.7878176005384486,10,150
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,10,150
Low Under Sampled,Random Forest - SSL - Self Training,0.878339222614841,0.6991173643275365,0.7272727272727273,0.6730607437321218,10,150
Low Normal,Random Forest - Fine Tuned,0.902155477031802,0.7749329431845892,0.7495283018867924,0.8021201413427562,10,150
Low Normal,Random Forest - SSL - Self Training,0.9125795053003534,0.7966798159105851,0.7786345381526104,0.8155813562173986,10,150
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,10,150
Low Over Sampled,Random Forest - SSL - Co Training,0.8987985865724382,0.7721196690006366,0.7323773584905661,0.8164226821470638,10,150
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,10,150
Low Under Sampled,Random Forest - SSL - Co Training,0.8686925795053003,0.6656469317977326,0.7153355250435119,0.6224129227662797,10,150
Low Normal,Random Forest - Fine Tuned,0.902155477031802,0.7749329431845892,0.7495283018867924,0.8021201413427562,10,150
Low Normal,Random Forest - SSL - Co Training,0.9072791519434628,0.7909496494582536,0.7510969889544561,0.8352683829715631,10,150
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,15,100
Low Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9057597173144876,0.7765395894428152,0.7733644859813084,0.7797408716136631,15,100
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,15,100
Low Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.8278445229681979,0.4840076255030713,0.6530437267790797,0.3844859498569746,15,100
Low Normal,Random Forest - Fine Tuned,0.902155477031802,0.7749329431845892,0.7495283018867924,0.8021201413427562,15,100
Low Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.8983038869257951,0.7600466900116725,0.7532639233184597,0.7669527174827528,15,100
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,15,100
Low Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9074204946996468,0.7813751668891856,0.7750372454891574,0.7878176005384486,15,100
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,15,100
Low Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.8278445229681979,0.4840076255030713,0.6530437267790797,0.3844859498569746,15,100
Low Normal,Random Forest - Fine Tuned,0.902155477031802,0.7749329431845892,0.7495283018867924,0.8021201413427562,15,100
Low Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.893886925795053,0.7471157894736842,0.7478084962913014,0.7464243647989232,15,100
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,15,100
Low Over Sampled,Random Forest - AL - Query By Committee,0.8981625441696113,0.7608695652173914,0.7505320019643149,0.7714958775029447,15,100
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,15,100
Low Under Sampled,Random Forest - AL - Query By Committee,0.817208480565371,0.4540369393139841,0.6090033975084937,0.3619384149419485,15,100
Low Normal,Random Forest - Fine Tuned,0.902155477031802,0.7749329431845892,0.7495283018867924,0.8021201413427562,15,100
Low Normal,Random Forest - AL - Query By Committee,0.9002826855123675,0.7723826423616712,0.7417505809450039,0.8056537102473498,15,100
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,15,100
Low Over Sampled,Random Forest - SSL - Self Training,0.9020848056537104,0.7721029689941608,0.7551480051480052,0.789836782769645,15,100
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,15,100
Low Under Sampled,Random Forest - SSL - Self Training,0.8791519434628975,0.6996311259441419,0.7317655704574683,0.6702002355712603,15,100
Low Normal,Random Forest - Fine Tuned,0.902155477031802,0.7749329431845892,0.7495283018867924,0.8021201413427562,15,100
Low Normal,Random Forest - SSL - Self Training,0.9083745583038868,0.785045179474426,0.7736928104575164,0.7967356553928993,15,100
Low Over Sampled,Random Forest - Fine Tuned,0.8996819787985866,0.7676569277354939,0.7472912683237731,0.7891637220259128,15,100
Low Over Sampled,Random Forest - SSL - Co Training,0.8991166077738516,0.7722377343438372,0.7342233009708737,0.8144034999158674,15,100
Low Under Sampled,Random Forest - Fine Tuned,0.8511660777385159,0.6010608069710173,0.6875406283856988,0.5339054349655057,15,100
Low Under Sampled,Random Forest - SSL - Co Training,0.8589045936395759,0.6326924845920339,0.697849025974026,0.5786639744236918,15,100
