Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,5,300
Low Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9454770318021202,0.8810973260383755,0.8127665624111459,0.9619720679791351,5,300
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,5,300
Low Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.8797526501766785,0.669515392832864,0.7916858061552595,0.5800100959111559,5,300
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,5,300
Low Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9380212014134276,0.8674826231489876,0.7871931989579048,0.9660104324415278,5,300
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,5,300
Low Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.945547703180212,0.8812697434316974,0.8128197839681637,0.9623085983510012,5,300
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,5,300
Low Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9215547703180212,0.805126404494382,0.8416223160212883,0.7716641426888776,5,300
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,5,300
Low Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9312014134275618,0.8555530825728912,0.7651273885350318,0.9702170620898536,5,300
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,5,300
Low Over Sampled,XGBoost - AL - Query By Committee,0.9282332155477032,0.8513503622923223,0.7533678756476684,0.9786303213865052,5,300
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,5,300
Low Under Sampled,XGBoost - AL - Query By Committee,0.8742049469964664,0.6644674835061263,0.755303192629098,0.5931347804139323,5,300
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,5,300
Low Normal,XGBoost - AL - Query By Committee,0.9257597173144876,0.8463170214322288,0.7485766045548654,0.9734141006225812,5,300
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,5,300
Low Over Sampled,XGBoost - SSL - Self Training,0.921095406360424,0.8379182695797344,0.7367883584375797,0.9712266532054518,5,300
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,5,300
Low Under Sampled,XGBoost - SSL - Self Training,0.9209187279151944,0.8201542912246866,0.7849561605906784,0.8586572438162544,5,300
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,5,300
Low Normal,XGBoost - SSL - Self Training,0.9293992932862192,0.8524590163934426,0.7595736281089617,0.9712266532054518,5,300
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,5,300
Low Over Sampled,XGBoost - SSL - Co Training,0.9208480565371024,0.8374927452118398,0.7361305955872975,0.9712266532054518,5,300
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,5,300
Low Under Sampled,XGBoost - SSL - Co Training,0.9022968197879858,0.7661733615221987,0.7701462087725264,0.762241292276628,5,300
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,5,300
Low Normal,XGBoost - SSL - Co Training,0.9290812720848056,0.8518709867886929,0.7587430975545622,0.9710583880195188,5,300
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,10,150
Low Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9450883392226148,0.8802035152636448,0.812206572769953,0.9606259464916708,10,150
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,10,150
Low Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9006713780918728,0.7465512577765756,0.8041958041958042,0.6966178697627461,10,150
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,10,150
Low Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9307067137809188,0.8545575910405696,0.7640583554376658,0.9693757361601884,10,150
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,10,150
Low Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9453003533568904,0.8807579725774148,0.8121892314249183,0.9619720679791351,10,150
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,10,150
Low Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.8859717314487633,0.689622006347985,0.8048944768747194,0.6032306915699142,10,150
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,10,150
Low Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9313427561837456,0.8558926055032263,0.7652519893899205,0.9708901228335858,10,150
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,10,150
Low Over Sampled,XGBoost - AL - Query By Committee,0.9280212014134276,0.850976662521033,0.7527828112865649,0.9786303213865052,10,150
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,10,150
Low Under Sampled,XGBoost - AL - Query By Committee,0.8702826855123675,0.6550784553227473,0.7417021276595744,0.5865724381625441,10,150
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,10,150
Low Normal,XGBoost - AL - Query By Committee,0.9270671378091871,0.8492330168005844,0.7503549761197883,0.978125525828706,10,150
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,10,150
Low Over Sampled,XGBoost - SSL - Self Training,0.921060070671378,0.8378574539120337,0.7366943203573708,0.9712266532054518,10,150
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,10,150
Low Under Sampled,XGBoost - SSL - Self Training,0.9243462897526502,0.827436124768276,0.7940903465346535,0.8637051993942453,10,150
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,10,150
Low Normal,XGBoost - SSL - Self Training,0.9293992932862192,0.8524590163934426,0.7595736281089617,0.9712266532054518,10,150
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,10,150
Low Over Sampled,XGBoost - SSL - Co Training,0.9208127208480564,0.8374319912948858,0.7360367253251722,0.9712266532054518,10,150
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,10,150
Low Under Sampled,XGBoost - SSL - Co Training,0.917844522968198,0.8099092469953397,0.7876908396946565,0.8334174659262998,10,150
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,10,150
Low Normal,XGBoost - SSL - Co Training,0.9290812720848056,0.8518709867886929,0.7587430975545622,0.9710583880195188,10,150
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,15,100
Low Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9451236749116608,0.8802713746048878,0.812322140011383,0.9606259464916708,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,15,100
Low Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9235689045936396,0.8099464018979,0.8475542478852519,0.7755342419653374,15,100
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,15,100
Low Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9326148409893992,0.8581206755449743,0.7691384369165111,0.9703853272757866,15,100
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,15,100
Low Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9450530035335688,0.8801541425818883,0.8120022753128555,0.960794211677604,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,15,100
Low Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9036749116607774,0.7458985831469053,0.8361546499477533,0.6732290089180548,15,100
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,15,100
Low Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9424028268551236,0.875458435207824,0.8018194541637509,0.9639912502103316,15,100
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,15,100
Low Over Sampled,XGBoost - AL - Query By Committee,0.9284098939929328,0.85161857331185,0.753987809622617,0.9782937910146392,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,15,100
Low Under Sampled,XGBoost - AL - Query By Committee,0.8671024734982332,0.6468876161862736,0.7317332200509771,0.57967356553929,15,100
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,15,100
Low Normal,XGBoost - AL - Query By Committee,0.9271731448763252,0.8493531174621738,0.7508400103385888,0.9776207302709068,15,100
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,15,100
Low Over Sampled,XGBoost - SSL - Self Training,0.921095406360424,0.8379182695797344,0.7367883584375797,0.9712266532054518,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,15,100
Low Under Sampled,XGBoost - SSL - Self Training,0.9209187279151944,0.8192537554514618,0.7876999534089144,0.8534410230523305,15,100
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,15,100
Low Normal,XGBoost - SSL - Self Training,0.9293992932862192,0.8524590163934426,0.7595736281089617,0.9712266532054518,15,100
Low Over Sampled,XGBoost - Fine Tuned,0.9212367491166078,0.8388169788126401,0.7354805985290388,0.9759380784115766,15,100
Low Over Sampled,XGBoost - SSL - Co Training,0.9207067137809188,0.8372025536854324,0.735875526080857,0.9708901228335858,15,100
Low Under Sampled,XGBoost - Fine Tuned,0.9098233215547704,0.7882157676348548,0.777632225315212,0.7990913679959616,15,100
Low Under Sampled,XGBoost - SSL - Co Training,0.9010247349823322,0.7634490330208598,0.7663614784672771,0.7605586404172977,15,100
Low Normal,XGBoost - Fine Tuned,0.930106007067138,0.8543231698335543,0.7596594629993452,0.9759380784115766,15,100
