Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
MED Over Sampled,Random Forest - Fine Tuned,0.9153003533568904,0.5893438410142197,0.4703308722996992,0.7889908256880734,5,300
MED Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9292579505300352,0.6292592592592593,0.5276397515527951,0.7793577981651376,5,300
MED Under Sampled,Random Forest - Fine Tuned,0.9057597173144876,0.3867555759944815,0.3877362840018442,0.3857798165137615,5,300
MED Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9035335689045936,0.3078093306288032,0.3441043083900226,0.278440366972477,5,300
MED Normal,Random Forest - Fine Tuned,0.9176678445229682,0.4934782608695652,0.4690082644628099,0.5206422018348624,5,300
MED Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.9090106007067138,0.4070918719778955,0.4086916319926029,0.4055045871559633,5,300
MED Over Sampled,Random Forest - Fine Tuned,0.9153003533568904,0.5893438410142197,0.4703308722996992,0.7889908256880734,5,300
MED Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9293286219081272,0.6297667530544243,0.5279329608938548,0.7802752293577981,5,300
MED Under Sampled,Random Forest - Fine Tuned,0.9057597173144876,0.3867555759944815,0.3877362840018442,0.3857798165137615,5,300
MED Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9065371024734984,0.3329129886506936,0.3697478991596639,0.3027522935779816,5,300
MED Normal,Random Forest - Fine Tuned,0.9176678445229682,0.4934782608695652,0.4690082644628099,0.5206422018348624,5,300
MED Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.9156890459363958,0.4685968819599109,0.4554112554112554,0.4825688073394495,5,300
MED Over Sampled,Random Forest - Fine Tuned,0.9153003533568904,0.5893438410142197,0.4703308722996992,0.7889908256880734,5,300
MED Over Sampled,Random Forest - AL - Query By Committee,0.9184098939929328,0.6007262666436106,0.482098251457119,0.7967889908256881,5,300
MED Under Sampled,Random Forest - Fine Tuned,0.9057597173144876,0.3867555759944815,0.3877362840018442,0.3857798165137615,5,300
MED Under Sampled,Random Forest - AL - Query By Committee,0.9186219081272085,0.4597701149425287,0.470475276044167,0.4495412844036697,5,300
MED Normal,Random Forest - Fine Tuned,0.9176678445229682,0.4934782608695652,0.4690082644628099,0.5206422018348624,5,300
MED Normal,Random Forest - AL - Query By Committee,0.9268551236749116,0.5700041545492314,0.5208807896735004,0.6293577981651376,5,300
MED Over Sampled,Random Forest - Fine Tuned,0.9153003533568904,0.5893438410142197,0.4703308722996992,0.7889908256880734,5,300
MED Over Sampled,Random Forest - SSL - Self Training,0.9240636042402828,0.6110407239819005,0.5046337817638266,0.7743119266055046,5,300
MED Under Sampled,Random Forest - Fine Tuned,0.9057597173144876,0.3867555759944815,0.3877362840018442,0.3857798165137615,5,300
MED Under Sampled,Random Forest - SSL - Self Training,0.9059363957597172,0.3762886597938144,0.3845785440613027,0.368348623853211,5,300
MED Normal,Random Forest - Fine Tuned,0.9176678445229682,0.4934782608695652,0.4690082644628099,0.5206422018348624,5,300
MED Normal,Random Forest - SSL - Self Training,0.921166077738516,0.5296226017288636,0.4900507218103784,0.5761467889908257,5,300
MED Over Sampled,Random Forest - Fine Tuned,0.9153003533568904,0.5893438410142197,0.4703308722996992,0.7889908256880734,5,300
MED Over Sampled,Random Forest - SSL - Co Training,0.917243816254417,0.6165684348395547,0.4793788187372709,0.8637614678899083,5,300
MED Under Sampled,Random Forest - Fine Tuned,0.9057597173144876,0.3867555759944815,0.3877362840018442,0.3857798165137615,5,300
MED Under Sampled,Random Forest - SSL - Co Training,0.9073144876325088,0.4058890147225368,0.4008948545861298,0.4110091743119266,5,300
MED Normal,Random Forest - Fine Tuned,0.9176678445229682,0.4934782608695652,0.4690082644628099,0.5206422018348624,5,300
MED Normal,Random Forest - SSL - Co Training,0.9171731448763252,0.4948275862068965,0.4666666666666667,0.5266055045871559,5,300
MED Over Sampled,Random Forest - Fine Tuned,0.9153003533568904,0.5893438410142197,0.4703308722996992,0.7889908256880734,10,150
MED Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9301413427561838,0.6321860465116279,0.5317683881064162,0.7793577981651376,10,150
MED Under Sampled,Random Forest - Fine Tuned,0.9057597173144876,0.3867555759944815,0.3877362840018442,0.3857798165137615,10,150
MED Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9095759717314488,0.3769174579985391,0.4016606123508043,0.355045871559633,10,150
MED Normal,Random Forest - Fine Tuned,0.9176678445229682,0.4934782608695652,0.4690082644628099,0.5206422018348624,10,150
MED Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.9091519434628976,0.410456317358404,0.4103622191655204,0.4105504587155963,10,150
MED Over Sampled,Random Forest - Fine Tuned,0.9153003533568904,0.5893438410142197,0.4703308722996992,0.7889908256880734,10,150
MED Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9298939929328622,0.6317743132887899,0.5305486284289277,0.7807339449541284,10,150
MED Under Sampled,Random Forest - Fine Tuned,0.9057597173144876,0.3867555759944815,0.3877362840018442,0.3857798165137615,10,150
MED Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9095759717314488,0.3769174579985391,0.4016606123508043,0.355045871559633,10,150
MED Normal,Random Forest - Fine Tuned,0.9176678445229682,0.4934782608695652,0.4690082644628099,0.5206422018348624,10,150
MED Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.9073498233215548,0.3842179426961014,0.3936477382098171,0.3752293577981651,10,150
MED Over Sampled,Random Forest - Fine Tuned,0.9153003533568904,0.5893438410142197,0.4703308722996992,0.7889908256880734,10,150
MED Over Sampled,Random Forest - AL - Query By Committee,0.9180212014134276,0.6063793688496777,0.4811523963381798,0.8197247706422018,10,150
MED Under Sampled,Random Forest - Fine Tuned,0.9057597173144876,0.3867555759944815,0.3877362840018442,0.3857798165137615,10,150
MED Under Sampled,Random Forest - AL - Query By Committee,0.9151943462897526,0.4360902255639097,0.4470134874759152,0.4256880733944954,10,150
MED Normal,Random Forest - Fine Tuned,0.9176678445229682,0.4934782608695652,0.4690082644628099,0.5206422018348624,10,150
MED Normal,Random Forest - AL - Query By Committee,0.9212367491166078,0.5256437539902107,0.4902739182215164,0.5665137614678899,10,150
MED Over Sampled,Random Forest - Fine Tuned,0.9153003533568904,0.5893438410142197,0.4703308722996992,0.7889908256880734,10,150
MED Over Sampled,Random Forest - SSL - Self Training,0.9230388692579504,0.603134110787172,0.5003022974607013,0.7591743119266054,10,150
MED Under Sampled,Random Forest - Fine Tuned,0.9057597173144876,0.3867555759944815,0.3877362840018442,0.3857798165137615,10,150
MED Under Sampled,Random Forest - SSL - Self Training,0.9081625441696112,0.4018411967779056,0.4032332563510392,0.4004587155963303,10,150
MED Normal,Random Forest - Fine Tuned,0.9176678445229682,0.4934782608695652,0.4690082644628099,0.5206422018348624,10,150
MED Normal,Random Forest - SSL - Self Training,0.9230035335689046,0.5434737062644039,0.5001928268414964,0.594954128440367,10,150
MED Over Sampled,Random Forest - Fine Tuned,0.9153003533568904,0.5893438410142197,0.4703308722996992,0.7889908256880734,10,150
MED Over Sampled,Random Forest - SSL - Co Training,0.9156890459363958,0.6096204188481675,0.4738046795523906,0.8545871559633027,10,150
MED Under Sampled,Random Forest - Fine Tuned,0.9057597173144876,0.3867555759944815,0.3877362840018442,0.3857798165137615,10,150
MED Under Sampled,Random Forest - SSL - Co Training,0.9156890459363958,0.4864399483426603,0.4582319545823195,0.518348623853211,10,150
MED Normal,Random Forest - Fine Tuned,0.9176678445229682,0.4934782608695652,0.4690082644628099,0.5206422018348624,10,150
MED Normal,Random Forest - SSL - Co Training,0.924416961130742,0.5614107033012098,0.5076010381905821,0.6279816513761468,10,150
MED Over Sampled,Random Forest - Fine Tuned,0.9153003533568904,0.5893438410142197,0.4703308722996992,0.7889908256880734,15,100
