Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
MED Over Sampled,XGBoost - Fine Tuned,0.9254416961130744,0.6661392405063291,0.5084541062801933,0.9655963302752294,5,300
MED Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9419787985865724,0.7180631868131868,0.5738199780461032,0.9591743119266056,5,300
MED Under Sampled,XGBoost - Fine Tuned,0.9658303886925796,0.7913700107874865,0.7470468431771894,0.8412844036697248,5,300
MED Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9350530035335688,0.4161372299872935,0.6766528925619835,0.3004587155963302,5,300
MED Normal,XGBoost - Fine Tuned,0.926713780918728,0.6717315606204495,0.5128081198646689,0.973394495412844,5,300
MED Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.927809187279152,0.6749403341288783,0.5166869671132764,0.9729357798165138,5,300
MED Over Sampled,XGBoost - Fine Tuned,0.9254416961130744,0.6661392405063291,0.5084541062801933,0.9655963302752294,5,300
MED Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9419787985865724,0.7180631868131868,0.5738199780461032,0.9591743119266056,5,300
MED Under Sampled,XGBoost - Fine Tuned,0.9658303886925796,0.7913700107874865,0.7470468431771894,0.8412844036697248,5,300
MED Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9350530035335688,0.4161372299872935,0.6766528925619835,0.3004587155963302,5,300
MED Normal,XGBoost - Fine Tuned,0.926713780918728,0.6717315606204495,0.5128081198646689,0.973394495412844,5,300
MED Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9260424028268552,0.6699258791988645,0.5104542177361211,0.9743119266055046,5,300
MED Over Sampled,XGBoost - Fine Tuned,0.9254416961130744,0.6661392405063291,0.5084541062801933,0.9655963302752294,5,300
MED Over Sampled,XGBoost - AL - Query By Committee,0.9226855123674912,0.658018130665833,0.4990516832622095,0.9655963302752294,5,300
MED Under Sampled,XGBoost - Fine Tuned,0.9658303886925796,0.7913700107874865,0.7470468431771894,0.8412844036697248,5,300
MED Under Sampled,XGBoost - AL - Query By Committee,0.956113074204947,0.6989820649539505,0.7410071942446043,0.6614678899082569,5,300
MED Normal,XGBoost - Fine Tuned,0.926713780918728,0.6717315606204495,0.5128081198646689,0.973394495412844,5,300
MED Normal,XGBoost - AL - Query By Committee,0.9238162544169612,0.6648009950248757,0.5028222013170273,0.9807339449541284,5,300
MED Over Sampled,XGBoost - Fine Tuned,0.9254416961130744,0.6661392405063291,0.5084541062801933,0.9655963302752294,5,300
MED Over Sampled,XGBoost - SSL - Self Training,0.942296819787986,0.7183997240903605,0.5755733628074053,0.9555045871559632,5,300
MED Under Sampled,XGBoost - Fine Tuned,0.9658303886925796,0.7913700107874865,0.7470468431771894,0.8412844036697248,5,300
MED Under Sampled,XGBoost - SSL - Self Training,0.9665371024734982,0.7970859224341118,0.7478890229191797,0.8532110091743119,5,300
MED Normal,XGBoost - Fine Tuned,0.926713780918728,0.6717315606204495,0.5128081198646689,0.973394495412844,5,300
MED Normal,XGBoost - SSL - Self Training,0.9260424028268552,0.6678305030947469,0.5105556903664159,0.9651376146788992,5,300
MED Over Sampled,XGBoost - Fine Tuned,0.9254416961130744,0.6661392405063291,0.5084541062801933,0.9655963302752294,5,300
MED Over Sampled,XGBoost - SSL - Co Training,0.9150883392226148,0.6366248298805384,0.474847732912249,0.9655963302752294,5,300
MED Under Sampled,XGBoost - Fine Tuned,0.9658303886925796,0.7913700107874865,0.7470468431771894,0.8412844036697248,5,300
MED Under Sampled,XGBoost - SSL - Co Training,0.9679151943462896,0.8038029386343993,0.7598039215686274,0.8532110091743119,5,300
MED Normal,XGBoost - Fine Tuned,0.926713780918728,0.6717315606204495,0.5128081198646689,0.973394495412844,5,300
MED Normal,XGBoost - SSL - Co Training,0.925512367491166,0.6663501107945552,0.5086998550024167,0.9655963302752294,5,300
MED Over Sampled,XGBoost - Fine Tuned,0.9254416961130744,0.6661392405063291,0.5084541062801933,0.9655963302752294,10,150
MED Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9420848056537102,0.718433258890225,0.5742927767096951,0.9591743119266056,10,150
MED Under Sampled,XGBoost - Fine Tuned,0.9658303886925796,0.7913700107874865,0.7470468431771894,0.8412844036697248,10,150
MED Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9403533568904594,0.4949132256134051,0.7117039586919105,0.3793577981651376,10,150
MED Normal,XGBoost - Fine Tuned,0.926713780918728,0.6717315606204495,0.5128081198646689,0.973394495412844,10,150
MED Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9264664310954064,0.6711960815294675,0.5119305856832972,0.9743119266055046,10,150
MED Over Sampled,XGBoost - Fine Tuned,0.9254416961130744,0.6661392405063291,0.5084541062801933,0.9655963302752294,10,150
MED Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9420141342756184,0.7181865018031942,0.5739774910787813,0.9591743119266056,10,150
MED Under Sampled,XGBoost - Fine Tuned,0.9658303886925796,0.7913700107874865,0.7470468431771894,0.8412844036697248,10,150
MED Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9403533568904594,0.4949132256134051,0.7117039586919105,0.3793577981651376,10,150
