Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
Original Over Sampled,Random Forest - Fine Tuned,0.9935883098486544,0.0227272727272727,0.0133333333333333,0.0769230769230769,5,300
Original Over Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9924451402867864,0.0256410256410256,0.0146520146520146,0.1025641025641025,5,300
Original Under Sampled,Random Forest - Fine Tuned,0.9962474216556078,0.0258064516129032,0.0172413793103448,0.0512820512820512,5,300
Original Under Sampled,Random Forest - AL - Entropy Uncertainity Sampling,0.9958497974601754,0.0118343195266272,0.0076923076923076,0.0256410256410256,5,300
Original Normal,Random Forest - Fine Tuned,0.996545639802182,0.0,0.0,0.0,5,300
Original Normal,Random Forest - AL - Entropy Uncertainity Sampling,0.9940853400929448,0.0165289256198347,0.0098522167487684,0.0512820512820512,5,300
Original Over Sampled,Random Forest - Fine Tuned,0.9935883098486544,0.0227272727272727,0.0133333333333333,0.0769230769230769,5,300
Original Over Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9932652401898656,0.0145454545454545,0.0084745762711864,0.0512820512820512,5,300
Original Under Sampled,Random Forest - Fine Tuned,0.9962474216556078,0.0258064516129032,0.0172413793103448,0.0512820512820512,5,300
Original Under Sampled,Random Forest - AL - Marginal Uncertainity Sampling,0.9960983125823206,0.0368098159509202,0.0241935483870967,0.0769230769230769,5,300
Original Normal,Random Forest - Fine Tuned,0.996545639802182,0.0,0.0,0.0,5,300
Original Normal,Random Forest - AL - Marginal Uncertainity Sampling,0.9949054399960238,0.0375586854460093,0.0229885057471264,0.1025641025641025,5,300
Original Over Sampled,Random Forest - Fine Tuned,0.9935883098486544,0.0227272727272727,0.0133333333333333,0.0769230769230769,5,300
Original Over Sampled,Random Forest - AL - Query By Committee,0.9911528616516316,0.0219780219780219,0.0123076923076923,0.1025641025641025,5,300
Original Under Sampled,Random Forest - Fine Tuned,0.9962474216556078,0.0258064516129032,0.0172413793103448,0.0512820512820512,5,300
Original Under Sampled,Random Forest - AL - Query By Committee,0.9941101916051592,0.0246913580246913,0.0147058823529411,0.0769230769230769,5,300
Original Normal,Random Forest - Fine Tuned,0.996545639802182,0.0,0.0,0.0,5,300
Original Normal,Random Forest - AL - Query By Committee,0.9944829642883768,0.0263157894736842,0.0158730158730158,0.0769230769230769,5,300
Original Over Sampled,Random Forest - Fine Tuned,0.9935883098486544,0.0227272727272727,0.0133333333333333,0.0769230769230769,5,300
Original Over Sampled,Random Forest - SSL - Self Training,0.9954770247769577,0.0319148936170212,0.0201342281879194,0.0769230769230769,5,300
Original Under Sampled,Random Forest - Fine Tuned,0.9962474216556078,0.0258064516129032,0.0172413793103448,0.0512820512820512,5,300
Original Under Sampled,Random Forest - SSL - Self Training,0.993961082531872,0.0240963855421686,0.0142857142857142,0.0769230769230769,5,300
Original Normal,Random Forest - Fine Tuned,0.996545639802182,0.0,0.0,0.0,5,300
Original Normal,Random Forest - SSL - Self Training,0.9964213822411092,0.0136986301369863,0.0093457943925233,0.0256410256410256,5,300
Original Over Sampled,Random Forest - Fine Tuned,0.9935883098486544,0.0227272727272727,0.0133333333333333,0.0769230769230769,5,300
Original Over Sampled,Random Forest - SSL - Co Training,0.9953527672158852,0.0209424083769633,0.0131578947368421,0.0512820512820512,5,300
Original Under Sampled,Random Forest - Fine Tuned,0.9962474216556078,0.0258064516129032,0.0172413793103448,0.0512820512820512,5,300
Original Under Sampled,Random Forest - SSL - Co Training,0.995253361167027,0.0205128205128205,0.0128205128205128,0.0512820512820512,5,300
Original Normal,Random Forest - Fine Tuned,0.996545639802182,0.0,0.0,0.0,5,300
