Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
Original Over Sampled,XGBoost - Fine Tuned,0.9987822759014886,0.0754716981132075,0.1428571428571428,0.0512820512820512,5,300
Original Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.998856830438132,0.1153846153846153,0.2307692307692307,0.0769230769230769,5,300
Original Under Sampled,XGBoost - Fine Tuned,0.9981609880961256,0.075,0.073170731707317,0.0769230769230769,5,300
Original Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9988816819503468,0.1509433962264151,0.2857142857142857,0.1025641025641025,5,300
Original Normal,XGBoost - Fine Tuned,0.9987325728770596,0.0377358490566037,0.0714285714285714,0.0256410256410256,5,300
Original Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.998856830438132,0.08,0.1818181818181818,0.0512820512820512,5,300
Original Over Sampled,XGBoost - Fine Tuned,0.9987822759014886,0.0754716981132075,0.1428571428571428,0.0512820512820512,5,300
Original Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9988319789259176,0.1132075471698113,0.2142857142857142,0.0769230769230769,5,300
Original Under Sampled,XGBoost - Fine Tuned,0.9981609880961256,0.075,0.073170731707317,0.0769230769230769,5,300
Original Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9989313849747756,0.1224489795918367,0.3,0.0769230769230769,5,300
Original Normal,XGBoost - Fine Tuned,0.9987325728770596,0.0377358490566037,0.0714285714285714,0.0256410256410256,5,300
Original Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.998856830438132,0.08,0.1818181818181818,0.0512820512820512,5,300
Original Over Sampled,XGBoost - Fine Tuned,0.9987822759014886,0.0754716981132075,0.1428571428571428,0.0512820512820512,5,300
Original Over Sampled,XGBoost - AL - Query By Committee,0.9988816819503468,0.1176470588235294,0.25,0.0769230769230769,5,300
Original Under Sampled,XGBoost - Fine Tuned,0.9981609880961256,0.075,0.073170731707317,0.0769230769230769,5,300
Original Under Sampled,XGBoost - AL - Query By Committee,0.9985834638037724,0.1739130434782608,0.2,0.1538461538461538,5,300
Original Normal,XGBoost - Fine Tuned,0.9987325728770596,0.0377358490566037,0.0714285714285714,0.0256410256410256,5,300
