Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9998586572438164,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9998586572438164,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - AL - Query By Committee,0.999929328621908,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - AL - Query By Committee,0.999929328621908,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - AL - Query By Committee,0.999929328621908,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - SSL - Self Training,0.9998939929328622,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - SSL - Self Training,0.9998939929328622,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - SSL - Self Training,0.9998233215547704,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - SSL - Co Training,0.9998939929328622,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,5,300
XHigh Under Sampled,XGBoost - SSL - Co Training,0.9997879858657244,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,5,300
XHigh Normal,XGBoost - SSL - Co Training,0.9998233215547704,0.0,0.0,0.0,5,300
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9998939929328622,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9998939929328622,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9998939929328622,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9998939929328622,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - AL - Query By Committee,0.999929328621908,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - AL - Query By Committee,0.999929328621908,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - AL - Query By Committee,0.9998586572438164,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - SSL - Self Training,0.9998939929328622,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - SSL - Self Training,0.9998939929328622,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - SSL - Self Training,0.9998233215547704,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - SSL - Co Training,0.9998939929328622,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,10,150
XHigh Under Sampled,XGBoost - SSL - Co Training,0.9997879858657244,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,10,150
XHigh Normal,XGBoost - SSL - Co Training,0.9998233215547704,0.0,0.0,0.0,10,150
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,15,100
XHigh Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,15,100
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,15,100
XHigh Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9998586572438164,0.0,0.0,0.0,15,100
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,15,100
XHigh Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.9998939929328622,0.0,0.0,0.0,15,100
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,15,100
XHigh Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,15,100
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,15,100
XHigh Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9998586572438164,0.0,0.0,0.0,15,100
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,15,100
XHigh Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9998939929328622,0.0,0.0,0.0,15,100
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,15,100
XHigh Over Sampled,XGBoost - AL - Query By Committee,0.999929328621908,0.0,0.0,0.0,15,100
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,15,100
XHigh Under Sampled,XGBoost - AL - Query By Committee,0.9998939929328622,0.0,0.0,0.0,15,100
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,15,100
XHigh Normal,XGBoost - AL - Query By Committee,0.999929328621908,0.0,0.0,0.0,15,100
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,15,100
XHigh Over Sampled,XGBoost - SSL - Self Training,0.9998586572438164,0.0,0.0,0.0,15,100
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,15,100
XHigh Under Sampled,XGBoost - SSL - Self Training,0.9998939929328622,0.0,0.0,0.0,15,100
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,15,100
XHigh Normal,XGBoost - SSL - Self Training,0.9998233215547704,0.0,0.0,0.0,15,100
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,15,100
XHigh Over Sampled,XGBoost - SSL - Co Training,0.9998939929328622,0.0,0.0,0.0,15,100
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,15,100
XHigh Under Sampled,XGBoost - SSL - Co Training,0.9997879858657244,0.0,0.0,0.0,15,100
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,15,100
XHigh Normal,XGBoost - SSL - Co Training,0.9998233215547704,0.0,0.0,0.0,15,100
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,20,75
XHigh Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,20,75
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,20,75
XHigh Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9998939929328622,0.0,0.0,0.0,20,75
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,20,75
XHigh Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,20,75
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,20,75
XHigh Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,20,75
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,20,75
XHigh Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9998939929328622,0.0,0.0,0.0,20,75
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,20,75
XHigh Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.9998939929328622,0.0,0.0,0.0,20,75
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,20,75
XHigh Over Sampled,XGBoost - AL - Query By Committee,0.999929328621908,0.0,0.0,0.0,20,75
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,20,75
XHigh Under Sampled,XGBoost - AL - Query By Committee,0.9998939929328622,0.0,0.0,0.0,20,75
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,20,75
XHigh Normal,XGBoost - AL - Query By Committee,0.9998939929328622,0.0,0.0,0.0,20,75
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,20,75
XHigh Over Sampled,XGBoost - SSL - Self Training,0.9998939929328622,0.0,0.0,0.0,20,75
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,20,75
XHigh Under Sampled,XGBoost - SSL - Self Training,0.9998939929328622,0.0,0.0,0.0,20,75
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,20,75
XHigh Normal,XGBoost - SSL - Self Training,0.9998233215547704,0.0,0.0,0.0,20,75
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,20,75
XHigh Over Sampled,XGBoost - SSL - Co Training,0.9998939929328622,0.0,0.0,0.0,20,75
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,20,75
XHigh Under Sampled,XGBoost - SSL - Co Training,0.9997879858657244,0.0,0.0,0.0,20,75
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,20,75
XHigh Normal,XGBoost - SSL - Co Training,0.9998233215547704,0.0,0.0,0.0,20,75
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,25,60
XHigh Over Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,25,60
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,25,60
XHigh Under Sampled,XGBoost - AL - Entropy Uncertainity Sampling,0.9998939929328622,0.0,0.0,0.0,25,60
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,25,60
XHigh Normal,XGBoost - AL - Entropy Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,25,60
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,25,60
XHigh Over Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,25,60
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,25,60
XHigh Under Sampled,XGBoost - AL - Marginal Uncertainity Sampling,0.9998586572438164,0.0,0.0,0.0,25,60
XHigh Normal,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,25,60
XHigh Normal,XGBoost - AL - Marginal Uncertainity Sampling,0.999929328621908,0.0,0.0,0.0,25,60
XHigh Over Sampled,XGBoost - Fine Tuned,0.9998586572438164,0.0,0.0,0.0,25,60
XHigh Over Sampled,XGBoost - AL - Query By Committee,0.999929328621908,0.0,0.0,0.0,25,60
XHigh Under Sampled,XGBoost - Fine Tuned,0.9998939929328622,0.0,0.0,0.0,25,60
